recno,ID,z,S,e_S,E_S,Tp1024,Fp1024,e_Fp1024,E_Fp1024,Tp64,Fp64,e_Fp64,E_Fp64,Tp64r,Fp63r,e_Fp63r,E_Fp63r,Eiso,e_Eiso,E_Eiso,Liso,e_Liso,E_Liso
129,"GRB140311A",4.954,45.2,9.82,13.5,50.0,1.65,0.54,0.64,43.176,6.08,2.17,2.5,1.762,2.84,0.91,1.08,259.4,56.4,77.47,97.0,31.04,36.85
130,"GRB140423A",3.26,246.0,21.9,20.5,43.816,4.67,0.54,0.52,42.928,8.03,1.58,1.56,44.907,5.17,0.81,0.79,718.0,64.01,59.89,64.26,10.05,9.84
131,"GRB140430A",1.6,17.6,2.87,5.65,2.52,3.79,0.61,1.05,2.856,5.61,1.2,1.75,2.894,4.95,0.9,1.43,14.81,2.42,4.75,10.52,1.91,3.05
132,"GRB140509A",2.4,19.2,3.43,4.27,3.4,2.09,0.56,0.83,3.152,5.22,2.0,2.53,2.589,3.22,1.08,1.43,32.05,5.72,7.11,17.33,5.82,7.73
133,"GRB140518A",4.707,16.3,3.14,5.61,55.344,1.02,0.26,0.29,45.736,2.26,0.74,0.79,45.712,1.28,0.36,0.39,90.92,17.48,31.23,38.67,10.77,11.71
134,"GRB140614A",4.233,36.6,13.3,9.67,53.0,0.73,0.32,0.26,44.328,3.38,1.44,1.17,63.76,1.23,0.54,0.45,175.0,63.53,46.3,30.84,13.6,11.23
135,"GRB140629A",2.275,35.6,4.23,7.05,12.472,6.27,0.98,1.05,12.76,10.6,2.28,2.36,12.621,8.73,1.53,1.61,59.78,7.1,11.84,44.75,7.82,8.24
136,"GRB140703A",3.14,95.2,13.0,13.8,0.72,5.2,0.86,0.88,0.784,13.6,3.39,3.42,0.774,7.89,1.59,1.62,268.1,36.59,38.87,75.43,15.24,15.46
137,"GRB140710A",0.558,4.27,1.3,2.26,0.288,2.5,0.84,1.16,0.592,5.61,2.3,2.91,0.532,5.06,1.97,2.54,0.49,0.15,0.26,0.85,0.33,0.43
138,"GRB140907A",1.21,78.8,5.6,6.68,17.656,3.31,0.29,0.33,17.488,5.82,0.87,0.91,17.511,4.51,0.59,0.62,36.59,2.6,3.1,4.63,0.6,0.64
139,"GRB141004A",0.573,7.9,0.75,1.02,0.008,4.5,0.42,0.57,0.032,10.4,1.16,1.46,0.034,9.95,1.04,1.34,1.02,0.1,0.13,1.81,0.19,0.24
140,"GRB141109A",2.993,170.0,13.9,16.3,117.0,6.88,0.74,0.79,117.8,11.5,1.94,1.99,117.751,8.95,1.12,1.18,394.8,32.12,37.87,77.82,9.79,10.24
141,"GRB141225A",0.915,82.9,10.9,11.5,12.0,5.08,1.0,1.03,7.784,11.7,4.05,4.09,9.061,8.82,2.65,2.67,20.28,2.66,2.81,4.02,1.21,1.22
142,"GRB150301B",1.5169,56.4,6.19,6.52,0.72,5.67,0.8,0.78,2.616,9.84,2.02,2.0,0.892,8.31,1.47,1.45,39.32,4.31,4.55,22.62,4.0,3.94
143,"GRB150413A",3.139,127.0,23.1,22.3,111.0,1.91,0.36,0.4,111.016,4.47,1.24,1.3,110.978,3.15,0.69,0.74,408.0,74.54,71.72,33.33,7.27,7.84
