recno,ID,NumID,Time,z,f_z,r_z,Com,t0,T100,_RA,_DE
158,"GRB170604A",755867,"19:08:50.402",1.329,"s  ","122", ,-11.672,30.592,342.65621,-15.41239
159,"GRB171020A",780845,"23:07:10.752",1.87,"s  ","123", ,-0.968,28.352,39.24842,15.20406
160,"GRB171205A",794972,"07:20:43.893",0.0368,"s  ","124", ,-44.12,216.896,167.41454,-12.58853
161,"GRB171222A",799669,"16:24:59.804",2.409,"s  ","125", ,4.968,205.12,148.27787,35.62669
162,"GRB180115A",805318,"04:16:03.681",2.487,"s  ","126", ,16.68,56.128,12.03879,-15.63069
163,"GRB180205A",808625,"04:25:29.332",1.409,"s  ","127", ,-6.992,13.12,126.81967,11.54239
164,"GRB180329B",819490,"14:08:23.971",1.998,"s  ","128", ,-8.888,266.496,82.90379,-23.69094
165,"GRB180404A",821881,"00:45:35.687",1.0,"s  ","129", ,-22.712,38.4,83.54887,-37.168
166,"GRB180624A",844192,"13:49:40.379",2.855,"s  ","130", ,-61.128,262.08,318.0975,-2.33806
167,"GRB181110A",871316,"08:43:31.320",1.505,"s  ","131", ,-104.432,217.536,302.318,-36.89672
