#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy fluence in XX - XX keV, with unit of erg/cm^2.
## XX_XXkeV_low: The lower limit of energy fluence in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy fluence in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB241209A   |   1273071    | 1.582669e-11 | 5.125426e-13 | 4.240920e-10 | 6.650740e-10 | 2.907770e-10 | 1.697501e-09 | 5.152998e-09 | 2.632268e-09 | 7.539456e-09 | 2.738798e-09 | 6.254894e-10 | 5.188240e-09 | 3.187938e-09 | 6.362092e-10 | 1.621287e-08 | 8.572550e-09 | 5.079606e-09 | 1.206285e-08 | 9.027344e-09 | 5.118468e-09 | 2.089488e-08 | 0.02 | 0.044000 | 0.064000 |  
GRB241128A   |   1270999    | 2.821500e-10 | 8.545352e-14 | 5.823178e-09 | 3.937766e-10 | 1.224701e-13 | 9.163682e-10 | 4.252556e-10 | 2.267410e-13 | 1.107797e-09 | 2.801690e-10 | 1.448205e-13 | 6.123222e-10 | 1.051114e-09 | 2.237844e-13 | 1.889165e-09 | 1.378034e-09 | 5.493258e-13 | 3.124856e-09 | 2.151344e-09 | 6.090178e-13 | 4.706954e-09 | 0.02 | 5.424000 | 5.444000 |  
GRB241127A   |   1270788    | 9.243576e-10 | 3.358226e-10 | 1.502277e-09 | 1.256319e-09 | 4.572460e-10 | 1.916991e-09 | 1.315043e-09 | 5.137006e-10 | 1.788381e-09 | 8.150796e-10 | 3.064080e-10 | 1.276527e-09 | 3.119896e-09 | N/A | N/A | 4.342202e-09 | 1.061182e-10 | 6.230314e-09 | 6.618050e-09 | 2.456632e-09 | 1.025038e-08 | 0.02 | 0.408000 | 0.428000 |  
GRB241115A   |   1267921    | 1.534688e-09 | 8.616880e-10 | 2.188518e-09 | 3.302630e-09 | 2.356460e-09 | 4.361240e-09 | 4.013562e-09 | 2.839160e-09 | 5.444148e-09 | 1.790565e-09 | 3.667752e-10 | 3.547726e-09 | 3.027192e-09 | 3.983640e-10 | 1.162626e-08 | 1.064143e-08 | 7.709744e-09 | 1.359722e-08 | 1.187818e-08 | 7.854164e-09 | 2.110426e-08 | 0.02 | 1.260000 | 1.280000 |  
GRB241113A   |   1267501    | 3.352354e-10 | 5.190270e-12 | 6.423474e-10 | 9.015296e-10 | 4.093360e-10 | 1.384682e-09 | 1.385926e-09 | 4.997928e-10 | 2.425604e-09 | 7.375644e-10 | 5.069206e-11 | 1.745460e-09 | 1.311656e-09 | 5.330280e-11 | 5.694164e-09 | 3.363722e-09 | 1.612872e-09 | 5.246746e-09 | 4.024668e-09 | 2.509748e-09 | 1.081110e-08 | 0.02 | 0.264000 | 0.284000 |  
GRB241030B   |   1263840    | 3.212476e-10 | 3.342258e-12 | 1.286027e-09 | 2.766750e-09 | 1.311445e-09 | 4.841500e-09 | 1.051962e-08 | 4.930716e-09 | 1.788999e-08 | 7.793634e-09 | 3.998894e-10 | 1.640590e-08 | 1.252045e-08 | 3.982630e-10 | 9.254436e-08 | 2.140130e-08 | 1.426297e-08 | 3.238172e-08 | 2.612342e-08 | 1.022116e-08 | 1.605018e-07 | 0.02 | 1.568000 | 1.588000 |  
GRB241030A   |   1263718    | 1.733405e-09 | 1.206396e-09 | 2.269864e-09 | 5.826664e-09 | 4.839048e-09 | 6.865466e-09 | 1.252824e-08 | 1.040184e-08 | 1.472279e-08 | 9.743836e-09 | 5.971040e-09 | 1.359283e-08 | 2.369300e-08 | 9.325884e-09 | 6.559790e-08 | 2.983184e-08 | 2.464848e-08 | 3.498646e-08 | 4.378144e-08 | 2.874418e-08 | 7.581062e-08 | 0.02 | 147.988000 | 148.008000 |  
GRB241026A   |   1262764    | 1.165977e-09 | 2.524934e-10 | 2.262298e-09 | 4.533044e-09 | 2.253408e-09 | 7.685108e-09 | 2.281708e-09 | 1.204925e-10 | 4.875398e-09 | 4.853108e-11 | 1.920127e-14 | 7.874084e-10 | 4.891364e-11 | 1.896400e-14 | 9.372598e-10 | 8.011244e-09 | 4.215412e-09 | 1.200079e-08 | 8.033782e-09 | 4.213470e-09 | 1.201241e-08 | 0.02 | 0.900000 | 0.920000 |  
GRB241025A   |   1262165    | 7.978476e-10 | 3.446038e-10 | 1.261915e-09 | 1.846460e-09 | 1.121863e-09 | 2.609996e-09 | 3.397114e-09 | 1.626035e-12 | 1.052228e-09 | 3.392110e-09 | 1.312804e-09 | 5.520902e-09 | 1.645622e-08 | 2.239392e-14 | 2.397286e-08 | 9.427358e-09 | 5.543448e-09 | 1.343445e-08 | 2.117874e-08 | 7.770698e-09 | 3.903642e-08 | 0.02 | 22.852000 | 22.872000 |  
GRB241010A   |   1259578    | 2.219168e-09 | 1.513457e-09 | 2.914004e-09 | 4.653718e-09 | 3.540136e-09 | 5.863406e-09 | 4.698508e-09 | 2.628996e-09 | 6.446292e-09 | 1.459251e-09 | 1.494686e-10 | 4.015596e-09 | 2.010852e-09 | 1.544258e-10 | 1.395950e-08 | 1.303047e-08 | 9.549706e-09 | 1.688068e-08 | 1.358220e-08 | 9.576130e-09 | 2.630692e-08 | 0.02 | 0.176000 | 0.196000 |  
GRB241006A   |   1258721    | 1.023340e-09 | 7.121476e-10 | 1.476590e-09 | 1.206230e-09 | 6.779692e-10 | 2.276564e-09 | 9.243362e-10 | 5.597448e-10 | 1.827637e-09 | 3.399696e-10 | 2.062196e-12 | 9.593344e-10 | 6.277980e-10 | 2.035354e-12 | 7.177116e-09 | 3.493172e-09 | 2.321346e-09 | 5.628724e-09 | 3.741364e-09 | 1.498201e-09 | 8.414532e-09 | 0.02 | 9.136000 | 9.156000 |  
GRB241002A   |   1257556    | 3.254618e-10 | 3.396644e-11 | 7.010032e-10 | 1.144906e-09 | 5.310066e-10 | 1.735721e-09 | 2.823970e-09 | 1.666480e-09 | 4.229218e-09 | 2.708820e-09 | 7.469818e-10 | 4.492416e-09 | 8.861352e-09 | 9.341572e-10 | 2.065950e-08 | 7.003256e-09 | 4.211240e-09 | 9.718070e-09 | 1.315619e-08 | 4.577202e-09 | 3.684342e-08 | 0.02 | -0.136000 | -0.116000 |  
