#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## XX_XX keV: Energy flux in XX - XX keV, with unit of erg/cm^2/s.
## XX_XXkeV_low: The lower limit of energy flux in XX - XX keV (90% confidence region).
## XX_XXkeV_hi: The upper limit of energy flux in XX - XX keV (90% confidence region).
## Exposure_time: The time interval of the spectrum, in unit of sec.
## Spectrum_start: The start time of the spectrum, relative to the BAT trigger time, in unit of sec.
## Spectrum_stop: The end time of the spectrum, relative to the BAT trigger time, in unit of sec. 
## *Special note: the original XSPEC fit report log10(flux). Thus the value 1.0 indicate the original fit of log10(flux) = 0.0. 
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB241209A   |   1273071    | 7.913343e-10 | 2.562713e-11 | 2.120460e-08 | 3.325370e-08 | 1.453885e-08 | 8.487504e-08 | 2.576499e-07 | 1.316134e-07 | 3.769728e-07 | 1.369399e-07 | 3.127447e-08 | 2.594120e-07 | 1.593969e-07 | 3.181046e-08 | 8.106437e-07 | 4.286275e-07 | 2.539803e-07 | 6.031426e-07 | 4.513672e-07 | 2.559234e-07 | 1.044744e-06 | 0.02 | 0.044000 | 0.064000 |  
GRB241128A   |   1270999    | 1.410750e-08 | 4.272676e-12 | 2.911589e-07 | 1.968883e-08 | 6.123504e-12 | 4.581841e-08 | 2.126278e-08 | 1.133705e-11 | 5.538983e-08 | 1.400845e-08 | 7.241024e-12 | 3.061611e-08 | 5.255572e-08 | 1.118922e-11 | 9.445827e-08 | 6.890171e-08 | 2.746629e-11 | 1.562428e-07 | 1.075672e-07 | 3.045089e-11 | 2.353477e-07 | 0.02 | 5.424000 | 5.444000 |  
GRB241127A   |   1270788    | 4.621788e-08 | 1.679113e-08 | 7.511385e-08 | 6.281596e-08 | 2.286230e-08 | 9.584953e-08 | 6.575216e-08 | 2.568503e-08 | 8.941904e-08 | 4.075398e-08 | 1.532040e-08 | 6.382635e-08 | 1.559948e-07 | N/A | N/A | 2.171101e-07 | 5.305911e-09 | 3.115157e-07 | 3.309025e-07 | 1.228316e-07 | 5.125190e-07 | 0.02 | 0.408000 | 0.428000 |  
GRB241115A   |   1267921    | 7.673438e-08 | 4.308440e-08 | 1.094259e-07 | 1.651315e-07 | 1.178230e-07 | 2.180620e-07 | 2.006781e-07 | 1.419580e-07 | 2.722074e-07 | 8.952823e-08 | 1.833876e-08 | 1.773863e-07 | 1.513596e-07 | 1.991820e-08 | 5.813130e-07 | 5.320715e-07 | 3.854872e-07 | 6.798608e-07 | 5.939091e-07 | 3.927082e-07 | 1.055213e-06 | 0.02 | 1.260000 | 1.280000 |  
GRB241113A   |   1267501    | 1.676177e-08 | 2.595135e-10 | 3.211737e-08 | 4.507648e-08 | 2.046680e-08 | 6.923409e-08 | 6.929629e-08 | 2.498964e-08 | 1.212802e-07 | 3.687822e-08 | 2.534603e-09 | 8.727302e-08 | 6.558281e-08 | 2.665140e-09 | 2.847082e-07 | 1.681861e-07 | 8.064362e-08 | 2.623373e-07 | 2.012334e-07 | 1.254874e-07 | 5.405551e-07 | 0.02 | 0.264000 | 0.284000 |  
GRB241030B   |   1263840    | 1.606238e-08 | 1.671129e-10 | 6.430134e-08 | 1.383375e-07 | 6.557224e-08 | 2.420750e-07 | 5.259809e-07 | 2.465358e-07 | 8.944993e-07 | 3.896817e-07 | 1.999447e-08 | 8.202949e-07 | 6.260226e-07 | 1.991315e-08 | 4.627218e-06 | 1.070065e-06 | 7.131485e-07 | 1.619086e-06 | 1.306171e-06 | 5.110578e-07 | 8.025092e-06 | 0.02 | 1.568000 | 1.588000 |  
GRB241030A   |   1263718    | 8.667024e-08 | 6.031981e-08 | 1.134932e-07 | 2.913332e-07 | 2.419524e-07 | 3.432733e-07 | 6.264119e-07 | 5.200918e-07 | 7.361393e-07 | 4.871918e-07 | 2.985520e-07 | 6.796417e-07 | 1.184650e-06 | 4.662942e-07 | 3.279895e-06 | 1.491592e-06 | 1.232424e-06 | 1.749323e-06 | 2.189072e-06 | 1.437209e-06 | 3.790531e-06 | 0.02 | 147.988000 | 148.008000 |  
GRB241026A   |   1262764    | 5.829885e-08 | 1.262467e-08 | 1.131149e-07 | 2.266522e-07 | 1.126704e-07 | 3.842554e-07 | 1.140854e-07 | 6.024625e-09 | 2.437699e-07 | 2.426554e-09 | 9.600636e-13 | 3.937042e-08 | 2.445682e-09 | 9.482001e-13 | 4.686299e-08 | 4.005622e-07 | 2.107706e-07 | 6.000397e-07 | 4.016891e-07 | 2.106735e-07 | 6.006203e-07 | 0.02 | 0.900000 | 0.920000 |  
GRB241025A   |   1262165    | 3.989238e-08 | 1.723019e-08 | 6.309573e-08 | 9.232302e-08 | 5.609317e-08 | 1.304998e-07 | 1.698557e-07 | 8.130177e-11 | 5.261142e-08 | 1.696055e-07 | 6.564022e-08 | 2.760451e-07 | 8.228108e-07 | 1.119696e-12 | 1.198643e-06 | 4.713679e-07 | 2.771724e-07 | 6.717227e-07 | 1.058937e-06 | 3.885349e-07 | 1.951821e-06 | 0.02 | 22.852000 | 22.872000 |  
GRB241010A   |   1259578    | 1.109584e-07 | 7.567283e-08 | 1.457002e-07 | 2.326859e-07 | 1.770068e-07 | 2.931703e-07 | 2.349254e-07 | 1.314498e-07 | 3.223146e-07 | 7.296255e-08 | 7.473430e-09 | 2.007798e-07 | 1.005426e-07 | 7.721292e-09 | 6.979752e-07 | 6.515234e-07 | 4.774853e-07 | 8.440341e-07 | 6.791098e-07 | 4.788065e-07 | 1.315346e-06 | 0.02 | 0.176000 | 0.196000 |  
