GRB110720A GBM 307.30  18.39 157.18 189.25 chi    -1.78 0.33 0.26  1.02 2.34E-06 0.23E-06 2.04E-05 0.20E-05
GRB110721A BAT   3.48 -55.44  63.31 150.03 chi    -2.08 0.05 0.05  1.52 1.07E-05 0.11E-05 4.47E-05 0.45E-05
GRB110722A GBM 350.59  59.39 117.66  69.35 chi    -3.48 1.12 0.54  1.13 7.20E-07 0.72E-07 6.63E-06 0.66E-06
GRB110802A XRT 151.62 -23.14 168.03 235.04 cstat  -2.30 0.11 0.10  1.06 2.58E-05 0.26E-05 1.08E-05 0.11E-05
GRB110815A BAT 176.51   1.03  49.72   0.61 chi    -1.99 0.12 0.13  2.14 7.84E-06 0.78E-06 9.03E-06 0.90E-06
GRB110820B IPN 283.36   2.82 156.93 145.93 chi    -1.86 0.18 0.18  2.76 4.22E-06 0.42E-06 3.29E-04 0.33E-04
GRB110824A GBM 239.35  43.15  82.42  83.50 chi    -1.77 0.07 0.07  1.55 4.04E-05 0.40E-05 1.37E-04 0.14E-04
GRB110825A BAT 162.95 -37.32 131.27 246.96 chi    -1.73 0.04 0.04  1.27 8.60E-06 0.86E-06 5.61E-05 0.56E-05
GRB110903A XRT 118.87  58.00 118.60 152.12 chi    -2.05 0.55 0.36  1.04 1.94E-06 0.19E-06 6.59E-06 0.66E-06
GRB111003A GBM 332.61 -21.09 115.91 199.93 chi    -2.64 0.64 0.41  0.90 2.44E-06 0.24E-06 8.40E-06 0.84E-06
GRB111017A GBM 109.41 -69.38  73.07 278.34 chi    -2.40 0.28 0.22  0.85 1.72E-06 0.17E-06 1.08E-05 0.11E-05
GRB111103C GBM 309.66  19.26  57.01  81.76 cstat  -2.19 0.53 0.43  0.78 4.42E-06 0.44E-06 8.13E-07 0.81E-07
GRB111113A IPN 359.84  50.10  89.20  88.84 cstat  -2.87 0.52 0.37  1.12 1.39E-05 0.14E-05 6.66E-07 0.67E-07
GRB111221A GBM 344.23 -86.45 116.73 102.38 pgstat -2.35 0.15 0.13  1.22 5.24E-06 0.52E-06 1.00E-06 0.10E-06
GRB111222A XRT 124.95  51.25 154.20 163.83 pgstat -2.87 0.26 0.23  1.64 5.64E-06 0.56E-06 7.22E-07 0.72E-07
GRB120119B GBM 280.08  -8.30 115.89 325.01 chi    -1.58 0.09 0.09  1.20 9.58E-06 0.96E-06 7.30E-05 0.73E-05
