recno,GRB,z,Tf,e_Tf,Vf,s_Vf,Vf05,Vf95,logLiso,e_logLiso,Det,r_logLiso,Npeaks,_RA,_DE
193,"201020A",2.903,6.09,1.01,0.039,0.02,-0.033,0.034,52.055,0.124,"BAT",5,1,261.22804,31.42825
194,"201020B",0.804,11.33,0.14,0.374,0.004,-0.007,0.006,52.497,0.01,"GBM",5,10,75.46679,77.06831
195,"201216C",1.1,24.45,0.45,0.208,0.005,-0.009,0.007,53.12,0.029,"BAT",19,5,16.37033,16.51611
196,"210204A",0.876,56.26,0.74,0.173,0.004,-0.011,0.002,52.237,0.009,"GBM",5,6,117.08071,11.4095
197,"210610B",1.1345,49.49,1.41,0.156,0.004,-0.007,0.007,52.879,0.044,"BAT",20,4,243.91862,14.39897
198,"210619B",1.937,34.83,0.3,0.579,0.002,-0.004,0.002,54.637,0.034,"BAT",21,17,319.71829,33.85006
199,"210702A",1.16,51.1,6.83,0.442,0.025,-0.078,0.004,53.384,0.029,"BAT",22,4,168.57871,-36.74717
200,"210822A",1.736,11.64,0.29,0.234,0.004,-0.007,0.007,53.847,0.038,"BAT",23,9,304.43746,5.28347
201,"211023A",0.39,58.27,0.32,0.183,0.002,-0.003,0.002,51.444,0.006,"GBM",5,12,72.3,85.3
202,"220101A",4.615,88.02,1.62,0.326,0.006,-0.016,0.005,53.953,0.077,"BAT",24,23,1.35371,31.76881
203,"220107A",1.246,15.91,0.52,0.248,0.011,-0.02,0.014,52.639,0.018,"GBM",5,4,169.807,34.17064
204,"220527A",0.857,6.85,0.14,0.267,0.004,-0.006,0.006,52.734,0.003,"GBM",5,6,323.52792,14.97186
205,"220627A",3.084,107.65,1.34,0.296,0.005,-0.01,0.007,53.079,0.017,"GBM",5,25,201.36879,-32.42625
206,"230204B",2.142,106.33,1.53,0.374,0.007,-0.013,0.011,53.266,0.028,"GBM",5,8,197.64417,-21.71689
207,"230818A",2.42,5.23,0.4,0.265,0.024,-0.041,0.035,53.164,0.131,"BAT",25,2,285.88812,40.89672
208,"230827B",0.887,6.56,0.38,0.155,0.022,-0.041,0.035,52.13,0.067,"GBM",5,3,299.63946,54.46319
209,"231118A",0.8304,5.66,0.41,0.14,0.012,-0.019,0.02,52.536,0.084,"BAT",26,2,,
210,"231215A",2.305,12.38,1.38,0.094,0.027,-0.044,0.047,53.691,0.046,"BAT",27,2,,
211,"240205B",0.824,29.44,0.18,0.451,0.002,-0.004,0.003,52.677,0.051,"BAT",28,11,351.466,-55.123
212,"240218A",6.782,65.48,5.69,0.222,0.021,-0.032,0.037,53.468,0.145,"BAT",29,4,161.79683,1.27633
213,"060614 ",0.1254,65.93,0.93,0.281,0.007,-0.012,0.01,50.461,0.082,"BAT",3,36,320.88392,-53.02669
214,"191019A",0.248,41.24,0.8,0.204,0.008,-0.015,0.01,50.407,0.085,"BAT",4,14,340.02446,-17.328
215,"211211A",0.0763,30.15,0.27,0.425,0.002,-0.003,0.003,51.288,0.007,"BAT",30,49,212.292,27.88856
216,"230307A",0.0646,23.2,0.1,0.159,0.001,-0.001,0.001,51.687,0.01,"GBM",31,54,60.85933,-75.37883
